region,year ,month,date,hospital_beds,COVID_hospitals,Hospitals,COVID_Beds,Intensive_COVID_beds,ID_Beds,Infection_beds,COVID_proportion,Hospitals_involved
Смолян,2021,март,15.3.2021,1060,4,8,209,12,9,40,"19,72","50,0"
София-град,2021,март,15.3.2021,12270,70,74,3460,873,426,745,"28,20","94,6"
Шумен,2021,март,15.3.2021,775,3,5,241,32,8,60,"31,10","60,0"
Ямбол,2021,март,15.3.2021,452,4,4,161,24,9,20,"35,62","100,0"
Бургас,2021,март,15.3.2021,3050,11,18,617,89,29,53,"20,23","61,1"
Кърджали,2021,март,15.3.2021,769,5,6,154,19,10,46,"20,03","83,3"
Хасково,2021,март,15.3.2021,1093,9,11,224,38,26,22,"20,49","81,8"
Благоевград,2021,ноември,15.11.2021,1815,7,11,479,57,27,69,"26,39","63,6"
Варна,2021,ноември,15.11.2021,2389,7,19,560,90,57,70,"23,44","36,8"
Велико Търново,2021,ноември,15.11.2021,1576,6,13,263,43,20,142,"16,69","46,2"
Видин,2021,ноември,15.11.2021,320,2,2,91,6,2,0,"28,44","100,0"
